"k","fold","lambda1","lambda2","canonical_direction","cor.train","cor.test"
15,11,3.16227766016838e-05,0,3,0.993162742623424,0.679074913588977
15,11,3.16227766016838e-05,0,4,0.999999999999718,-0.0792967701257023
15,11,3.16227766016838e-05,0,5,0.999999999999866,0.715577445144517
15,12,3.16227766016838e-05,0,1,0.999999999998944,0.881743730409184
15,12,3.16227766016838e-05,0,2,0.999999999999901,0.714952769906136
15,12,3.16227766016838e-05,0,3,0.99299204998307,0.703733607133764
15,12,3.16227766016838e-05,0,4,0.999999999999726,0.851778525234671
15,12,3.16227766016838e-05,0,5,0.999999999999885,0.403430377853793
15,13,3.16227766016838e-05,0,1,0.999999999999022,0.911626446033547
15,13,3.16227766016838e-05,0,2,0.999999999999904,0.544222566264257
15,13,3.16227766016838e-05,0,3,0.992748344640339,0.859135184267778
15,13,3.16227766016838e-05,0,4,0.999999999999699,0.822700523037677
15,13,3.16227766016838e-05,0,5,0.99999999999991,0.306906532805654
15,14,3.16227766016838e-05,0,1,0.999999999999914,0.64468322574004
15,14,3.16227766016838e-05,0,2,0.999999999999907,0.747194863959626
15,14,3.16227766016838e-05,0,3,0.999999999999855,0.437941848548483
15,14,3.16227766016838e-05,0,4,0.999999999999895,0.819997303506684
15,14,3.16227766016838e-05,0,5,0.9999999999999,0.216969047567207
15,15,3.16227766016838e-05,0,1,0.999999999999082,0.862137613584069
15,15,3.16227766016838e-05,0,2,0.999999999999916,0.713933311771114
15,15,3.16227766016838e-05,0,3,0.992927761230447,0.786369555488932
15,15,3.16227766016838e-05,0,4,0.999999999999746,0.74917630973311
15,15,3.16227766016838e-05,0,5,0.999999999999886,0.747635501998066
15,1,1e-04,0,1,0.999999999990852,0.868007711833461
15,1,1e-04,0,2,0.999999999998979,0.821824499941637
15,1,1e-04,0,3,0.993042161184723,0.603177849402649
15,1,1e-04,0,4,0.999999999996045,0.818413780027931
15,1,1e-04,0,5,0.999999999998851,0.653275266830943
15,2,1e-04,0,1,0.999999999988721,0.913893580093464
15,2,1e-04,0,2,0.999999999998782,0.379251222233235
15,2,1e-04,0,3,0.992959310811886,0.855476299679112
15,2,1e-04,0,4,0.999999999997663,0.43639815197874
15,2,1e-04,0,5,0.99999999999871,0.56651244568996
15,3,1e-04,0,1,0.999999999999126,0.932695804165278
15,3,1e-04,0,2,0.999999999999095,0.708838112992895
15,3,1e-04,0,3,0.999999999998541,0.202186781534818
15,3,1e-04,0,4,0.999999999998907,0.328631389604805
15,3,1e-04,0,5,0.999999999998952,0.705061318378924
15,4,1e-04,0,1,0.999999999991145,0.881933558523636
15,4,1e-04,0,2,0.999999999999047,0.687588270411959
15,4,1e-04,0,3,0.993079704272541,0.665686554365135
15,4,1e-04,0,4,0.999999999996903,0.799829655278687
15,4,1e-04,0,5,0.999999999998663,0.694480183350437
15,5,1e-04,0,1,0.999999999989431,0.659338996301862
15,5,1e-04,0,2,0.999999999999096,0.526738234101345
15,5,1e-04,0,3,0.993183388958078,0.318440656187319
15,5,1e-04,0,4,0.999999999997142,0.450274505263242
15,5,1e-04,0,5,0.999999999999004,-0.00860422931343243
15,6,1e-04,0,1,0.999999999993927,0.402375101786979
15,6,1e-04,0,2,0.999999999998992,0.851586786035351
15,6,1e-04,0,3,0.992443654119629,0.641088828066302
15,6,1e-04,0,4,0.999999999997925,0.596970323956975
15,6,1e-04,0,5,0.999999999998854,0.288886009288088
15,7,1e-04,0,1,0.999999999991295,0.898258069345941
15,7,1e-04,0,2,0.99999999999903,0.771259592410272
15,7,1e-04,0,3,0.992648672113835,0.856715698857653
15,7,1e-04,0,4,0.999999999996878,0.696556938148166
